EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,FireReason
3427,Uriah,Bridges,20-Sep-19,,Production Technician I,Mark Davis,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production,Finance & Accounting,10/7/1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,
3428,Paula,Small,11-Feb-23,,Production Technician I,Joseph Martinez,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,,Production,Aerial,8/30/1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,
3429,Edward,Buck,10-Dec-18,,Area Sales Manager,Laura Miller,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,10/6/1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,
3430,Michael,Riordan,21-Jun-21,,Area Sales Manager,Karen Miller,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,4/4/1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,
3431,Jasmine,Onque,29-Jun-19,,Area Sales Manager,Mark Davis,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,8/29/1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,
3432,Maruk,Fraval,17-Jan-20,,Area Sales Manager,Mark Davis,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,4/3/1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3,
3433,Latia,Costa,6-Apr-22,3-Jul-23,Area Sales Manager,Laura Miller,latia.costa@bilearner.com,WBL,Exited,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,7/1/1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,Relocation
3434,Sharlene,Terry,6-Nov-20,29-Jan-23,Area Sales Manager,Joseph Walker,sharlene.terry@bilearner.com,CCDR,Exited,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,3/7/1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,Personal reasons
3435,Jac,McKinzie,18-Aug-18,,Area Sales Manager,John Thompson,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,5/15/1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,
3436,Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,Michael Walker,joseph.martins@bilearner.com,BPC,Exited,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11/11/1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,Health reasons
